Date,Closing Price (USD)
10/1/2013,123
10/2/2013,125
10/3/2013,108
10/4/2013,118
10/5/2013,121
10/6/2013,120
10/7/2013,121
10/8/2013,123
10/9/2013,124
10/10/2013,125
10/11/2013,125
10/12/2013,125
10/13/2013,126
10/14/2013,135
10/15/2013,133
10/16/2013,142
10/17/2013,137
10/18/2013,142
10/19/2013,152
10/20/2013,160
10/21/2013,164
10/22/2013,177
10/23/2013,188
10/24/2013,200
10/25/2013,180
10/26/2013,175
10/27/2013,177
10/28/2013,187
10/29/2013,192
10/30/2013,197
10/31/2013,196
11/1/2013,198
11/2/2013,198
11/3/2013,200
11/4/2013,210
11/5/2013,225
11/6/2013,248
11/7/2013,262
11/8/2013,294
11/9/2013,331
11/10/2013,285
11/11/2013,304
11/12/2013,338
11/13/2013,357
11/14/2013,402
11/15/2013,409
11/16/2013,420
11/17/2013,437
11/18/2013,510
11/19/2013,693
11/20/2013,531
11/21/2013,574
11/22/2013,681
11/23/2013,774
11/24/2013,746
11/25/2013,768
11/26/2013,789
11/27/2013,893
11/28/2013,934
11/29/2013,1068
11/30/2013,1154
12/1/2013,1099
12/2/2013,1019
12/3/2013,1028
12/4/2013,1071
12/5/2013,1139
12/6/2013,1004
12/7/2013,759
12/8/2013,689
12/9/2013,841
12/10/2013,916
12/11/2013,967
12/12/2013,866
12/13/2013,911
12/14/2013,889
12/15/2013,848
12/16/2013,868
12/17/2013,653
12/18/2013,654
12/19/2013,553
12/20/2013,693
12/21/2013,649
12/22/2013,595
12/23/2013,647
12/24/2013,671
12/25/2013,659
12/26/2013,702
12/27/2013,758
12/28/2013,734
12/29/2013,717
12/30/2013,752
12/31/2013,744
1/1/2014,768
1/2/2014,769
1/3/2014,804
1/4/2014,813
1/5/2014,871
1/6/2014,970
1/7/2014,962
1/8/2014,855
1/9/2014,860
1/10/2014,847
1/11/2014,892
1/12/2014,916
1/13/2014,873
1/14/2014,863
1/15/2014,853
1/16/2014,874
1/17/2014,842
1/18/2014,834
1/19/2014,838
1/20/2014,881
1/21/2014,873
1/22/2014,874
1/23/2014,864
1/24/2014,838
1/25/2014,834
1/26/2014,858
1/27/2014,887
1/28/2014,830
1/29/2014,832
1/30/2014,832
1/31/2014,841
2/1/2014,847
2/2/2014,854
2/3/2014,856
2/4/2014,847
2/5/2014,844
2/6/2014,802
2/7/2014,748
2/8/2014,692
2/9/2014,668
2/10/2014,700
2/11/2014,694
2/12/2014,665
2/13/2014,645
2/14/2014,578
2/15/2014,641
2/16/2014,656
2/17/2014,611
2/18/2014,634
2/19/2014,618
2/20/2014,619
2/21/2014,545
2/22/2014,561
2/23/2014,622
2/24/2014,572
2/25/2014,501
2/26/2014,550
2/27/2014,573
2/28/2014,567
3/1/2014,551
3/2/2014,560
3/3/2014,567
3/4/2014,666
3/5/2014,660
3/6/2014,662
3/7/2014,651
3/8/2014,612
